"Note: In Ramey's regressions, all GDP and hours variables were entered as log(x/totpop). ",,,,,,,,,,
"Real GDP and its components are indexes, equal to 100 in 2005.  DO NOT ADD.",,,,,,,,,,
,Ramey-Shapiro military date,Real gdp,Real nondurable + services consumption,Real fixed investment,Real government spending,Real federal spending,Real defense spending,Total hours - Establishment based measures,Total population,Barro-Redlick Avg. Marginal Tax Rate
,,,,,,,,,,
,,,,,,,,,,
quarter,war,rgdp,rcndsv,rinvfx,rgov,rfed,rdef,tothoursces,totpop,amtbr
1947,0,14.022,15.07961995,9.329,17.184,25.544,31.436,121.791,143442,0.238
1947.25,0,14.001,15.31499218,9.082,17.293,25.597,29.376,121.092,144126,0.238
1947.5,0,13.989,15.33984204,9.39,17.451,25.611,30.894,122.037,144752,0.238
1947.75,0,14.202,15.20244059,10.216,17.193,24.718,31.105,122.809,145379,0.238
1948,0,14.427,15.28643888,10.561,17.534,25.559,31.023,121.873,146005,0.193
1948.25,0,14.693,15.48601082,10.551,18.378,27.116,30.767,122.135,146631,0.193
1948.5,0,14.772,15.47417444,10.438,18.735,27.669,30.306,123.491,147270,0.193
1948.75,0,14.794,15.64865278,10.317,19.523,29.169,31.82,123.027,147910,0.193
1949,0,14.589,15.72234662,9.727,20.081,29.756,32.659,121.615,148549,0.187
1949.25,0,14.536,15.78565009,9.418,20.99,30.874,33.252,120.779,149188,0.187
1949.5,0,14.699,15.70271227,9.395,21.201,30.534,33.158,119.069,149959,0.187
1949.75,0,14.561,15.84853964,9.732,20.75,29.021,31.069,117.919,150730,0.187
1950,0,15.149,16.05751574,10.349,20.403,27.64,29.815,118.274,151500,0.211
1950.25,0,15.61,16.34402738,11.309,20.737,28.254,30.075,120.492,152271,0.211
1950.5,1,16.221,16.60720295,12.153,20.339,27.251,32.052,123.827,152923,0.211
1950.75,0,16.507,16.4709483,11.9,21.635,30.451,36.49,125.444,153575,0.211
1951,0,16.715,16.84183113,11.458,23.948,36.413,46.253,128.084,154226,0.248
1951.25,0,16.993,16.76153384,10.931,27.241,44.208,57.332,129.497,154878,0.248
1951.5,0,17.331,17.04453942,10.754,30.332,51.849,69.12,128.925,155547,0.248
1951.75,0,17.36,17.17216167,10.643,32.023,56.15,75.329,129.239,156216,0.248
1952,0,17.535,17.19988785,10.769,33.015,58.6,77.918,129.732,156527,0.268
1952.25,0,17.554,17.53508206,10.918,34.134,60.92,82.119,129.231,157140,0.268
1952.5,0,17.672,17.80457497,10.248,34.472,62.487,84.015,129.764,157798,0.268
1952.75,0,18.256,18.06403818,11.028,35.09,63.469,85.514,132.172,158451,0.268
1953,0,18.597,18.20780456,11.471,36.281,65.942,88.146,132.645,159170,0.266
1953.25,0,18.738,18.3639533,11.533,37.079,68.018,88.851,132.495,159745,0.266
1953.5,0,18.624,18.3272741,11.542,36.631,66.162,87.687,131.624,160449,0.266
1953.75,0,18.329,18.27653859,11.417,36.517,65.201,86,130.014,161223,0.266
1954,0,18.242,18.44946508,11.237,35.54,61.731,80.234,128.921,161912,0.241
1954.25,0,18.265,18.58241777,11.421,34.282,58.425,76.861,127.360,162564,0.241
1954.5,0,18.471,18.866425,11.878,33.455,55.519,72.895,126.936,163290,0.241
