"Note: In Ramey's regressions, all GDP and hours variables were entered as log(x/totpop). ",,,,,,,,,,,,,,,,,,,,,,
"Real GDP and its components are indexes, equal to 100 in 2005.  DO NOT ADD.",,,,,,,,,,,,,,,,,,,,,,
,Nominal present value of news variable,pdvmil divided by nominal gdp of previous quarter,real gdp,real total consumption,real durable consumption,real nondurable consumption,real services consumption,real fixed investment,real nonresidential fixed investment,real residential investment,real government spending,real federal spending,real defense spending,Real consumer stock of durables,total hours - Household based measure,Military hours,"total population, including armed forces overseas",Real manufacturing product wage,Consumer price index,BAA bond interest rate,Interest rate on 3-month T-bills,Barro-Redlick Avg. marginal tax rate
,,,,,,,,,,,,,,,,,,,,,,
quarter,pdvmil,pdvmily,rgdp,rcons,rcdur,rcnd,rcsv,rinvfx,rnri,rres,rgov,rfed,rdef,kcdur,tothours,milithours,totpop,rwmfg,cpi,BAA,tb3,amtbr
1939,0.5,0.006,8.27,8.90,2.67,16.17,7.95,4.05,3.09,8.38,10.30,9.27,3.03,3.44,107.85,0.63,130763,0.04,13.93,5.02,0.03,0.051
1939.25,0,0.000,8.37,9.23,2.84,16.82,8.05,4.17,3.26,8.17,10.25,9.45,3.33,3.46,108.05,0.64,131028,0.04,13.80,5.04,0.03,0.051
1939.5,0.7,0.008,8.64,9.30,3.00,16.53,8.11,4.33,3.51,7.87,9.79,8.43,3.60,3.49,108.57,0.73,131302,0.04,13.90,4.90,0.08,0.051
1939.75,0,0.000,8.68,9.35,3.05,17.01,8.17,4.53,3.75,7.84,9.93,9.16,3.81,3.53,110.03,0.83,131575,0.04,14.00,4.88,0.05,0.051
1940,0,0.000,9.00,9.49,3.15,17.09,8.27,4.72,3.89,8.26,10.06,9.68,4.40,3.57,111.65,0.92,131849,0.04,13.97,4.83,0.02,0.069
1940.25,31.6,0.322,9.06,9.65,3.29,17.33,8.39,4.97,4.02,9.18,9.88,9.08,4.68,3.62,111.59,1.02,132122,0.04,14.03,4.93,0.06,0.069
1940.5,0,0.000,9.33,9.72,3.36,17.36,8.38,5.31,4.36,9.43,9.94,9.19,4.91,3.66,114.59,1.60,132442,0.04,14.00,4.74,0.05,0.069
1940.75,4.9,0.048,9.54,9.84,3.43,17.60,8.49,5.51,4.57,9.50,11.52,12.69,10.10,3.71,115.92,2.19,132762,0.04,14.03,4.50,0.02,0.069
1941,7,0.066,10.08,10.17,3.80,18.30,8.63,5.77,4.94,9.14,13.61,18.28,19.17,3.74,118.73,2.77,133082,0.04,14.13,4.39,0.06,0.126
1941.25,44.3,0.392,10.71,10.47,4.24,18.28,8.84,6.20,5.31,9.90,15.12,21.83,25.99,3.77,123.24,3.36,133402,0.04,14.47,4.32,0.11,0.126
1941.5,0,0.000,10.96,10.56,3.94,18.76,8.89,6.00,4.99,10.47,17.77,28.26,35.29,3.79,128.41,4.77,133767,0.04,14.90,4.28,0.12,0.126
1941.75,97,0.745,11.49,10.23,3.31,18.25,9.17,5.43,4.59,9.13,22.32,38.90,49.82,3.80,131.89,6.17,134131,0.04,15.40,4.31,0.23,0.126
1942,0,0.000,11.58,10.11,2.57,18.37,9.12,4.23,3.52,7.40,26.43,48.87,65.74,3.81,134.34,7.58,134496,0.04,15.83,4.29,0.26,0.205
1942.25,29,0.202,12.39,9.99,2.39,18.25,9.25,3.74,3.24,5.91,36.06,71.74,102.69,3.82,138.40,8.99,134860,0.04,16.23,4.29,0.35,0.205
1942.5,66.2,0.425,13.15,10.10,2.37,18.47,9.47,2.85,2.69,3.22,46.44,96.49,141.45,3.81,142.99,12.27,135330,0.05,16.47,4.28,0.38,0.205
1942.75,0,0.000,14.10,10.26,2.36,18.70,9.65,2.39,2.21,3.03,53.00,112.38,165.99,3.80,148.37,15.55,135800,0.05,16.80,4.26,0.38,0.205
1943,23,0.127,14.33,10.38,2.20,18.65,9.84,2.26,2.15,2.51,57.52,123.46,182.79,3.78,153.22,18.83,136269,0.05,17.00,4.08,0.38,0.221
1943.25,0,0.000,14.71,10.30,2.28,18.35,10.04,2.39,2.26,2.87,59.56,128.61,191.30,3.75,157.29,22.11,136739,0.05,17.47,3.92,0.38,0.221
1943.5,0,0.000,15.06,10.41,2.15,18.63,10.18,2.68,2.59,2.95,60.55,131.10,195.88,3.72,160.06,23.54,137154,0.05,17.37,3.82,0.38,0.221
1943.75,0,0.000,15.50,10.49,2.07,18.63,10.41,2.86,2.76,3.29,63.27,137.98,205.28,3.70,160.21,24.97,137568,0.05,17.40,3.82,0.38,0.221
1944,0,0.000,15.81,10.53,2.12,18.72,10.50,2.99,2.93,3.28,65.95,144.28,215.15,3.68,161.03,26.40,137983,0.05,17.40,3.73,0.38,0.263
1944.25,-34,-0.159,15.98,10.63,1.95,18.84,10.63,3.17,3.26,2.55,67.18,147.59,219.07,3.67,163.67,27.83,138397,0.05,17.53,3.63,0.38,0.263
