total,not_w,w
-0.0394927044543655,-0.048844944867551,0.00935224041318549
-0.0475102338640485,-0.0295968436996102,-0.0179133901644383
-0.0473392550919598,-0.0212754489636164,-0.0260638061283434
-0.044605390533817,-0.0146488393881455,-0.0299565511456714
-0.0408751711833724,-0.0121498231921394,-0.028725347991233
-0.0367295661390395,-0.0106554831520189,-0.0260740829870207
-0.0324684097723737,-0.0102533971189013,-0.0222150126534725
-0.0282802039735407,-0.0106461369211344,-0.0176340670524064
-0.0242900392269252,-0.0105830578936566,-0.0137069813332687
-0.0205786179028965,-0.0101633387270735,-0.010415279175823
-0.0171934372676784,-0.0103527359289189,-0.00684070133875951
-0.0141570145291196,-0.00960137745570526,-0.00455563707341432
-0.0114733980948229,-0.00888302171971304,-0.00259037637510985
-0.00913338613003238,-0.00864383223908936,-0.000489553890943024
-0.0071186797047191,-0.00791965971500732,0.000800980010288222
-0.00540514312005992,-0.00704598144844508,0.00164083832838516
-0.00396531935071393,-0.00708206032338855,0.00311674097267462
-0.00277033028962782,-0.00633236776761218,0.00356203747798436
-0.00179127492627359,-0.00576239237226932,0.00397111744599573
-0.00100022307158298,-0.00580607582245348,0.00480585275087049
-0.00037088785747817,-0.00533294969112265,0.00496206183364448
