total,not_w,w
-0.0394927044543655,-0.0495912779901609,0.0100985735357954
-0.0475102338640484,-0.0318489064293571,-0.0156613274346913
-0.0473392550919597,-0.0236972737622196,-0.0236419813297401
-0.0446053905338166,-0.0162306675453019,-0.0283747229885147
-0.0408751711833721,-0.0129167119405884,-0.0279584592427837
-0.03672956613904,-0.0106894164321597,-0.0260401497068802
-0.0324684097723742,-0.0100549563302845,-0.0224134534420898
-0.0282802039735407,-0.00967146562166715,-0.0186087383518736
-0.0242900392269261,-0.00960992791850529,-0.0146801113084208
-0.0205786179028974,-0.00941542425640117,-0.0111631936464962
-0.0171934372676789,-0.00930066238769904,-0.00789277487997987
-0.0141570145291226,-0.00882535922088648,-0.00533165530823613
-0.0114733980948256,-0.0085188649588226,-0.00295453313600304
-0.00913338613003542,-0.00799290008091386,-0.00114048604912156
-0.00711867970472182,-0.00753784245237779,0.000419162747655975
-0.00540514312006294,-0.00701187198285069,0.00160672886278775
-0.00396531935071863,-0.00668066873649874,0.00271534938578011
-0.00277033028963076,-0.00612635672893026,0.0033560264392995
-0.0017912749262752,-0.00587301800401712,0.00408174307774192
-0.00100022307158872,-0.00548180797130771,0.00448158489971899
-0.000370887857483257,-0.00520049329198136,0.0048296054344981
